pinned_tweet_id,id,description,name,protected,verified,created_at,location,profile_image_url,username,url,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
1332678503695835145,490318804,"Vizepräsident Die Mitte Schweiz, alt Grossrat Kanton Bern",Jan Gnägi,False,False,2012-02-12T12:51:34.000Z,"Aarberg, Schweiz",https://pbs.twimg.com/profile_images/1513816593398177792/NL3U9RoF_normal.jpg,jangnaegi,https://t.co/c8wc0bQehc,596.0,442.0,418.0,16.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/c8wc0bQehc', 'expanded_url': 'http://www.jan-gnaegi.ch', 'display_url': 'jan-gnaegi.ch'}]",,,,jangnaegi,BDP
,1543019749,Nationalrat Die Mitte Kt. Bern,Lorenz Hess,False,False,2013-06-24T10:34:44.000Z,Bern,https://pbs.twimg.com/profile_images/1205039762626797568/LnUuslEQ_normal.jpg,lorenzhess,,1910.0,103.0,343.0,98.0,,,,,lorenzhess,BDP
,366183985,"Avocat, Juge d'instruction militaire, membre du conseil municipal de Pregny-Chambésy (GE).",Thurnherr Laurent,False,False,2011-09-01T18:32:37.000Z,"Genève, Suisse",https://pbs.twimg.com/profile_images/634362051763269633/7JxzCRfF_normal.jpg,l_thurnherr,,148.0,55.0,462.0,14.0,,,,,l_thurnherr,BDP
,279572642,"Gemeinderat, alt Grossrat, dipl. Hotelier/Restaurateur HF, Betriebsökonom (BSc), Master in Aviation Management, Laienschauspieler, Aviatikfan #SayNoToReligion",Lukas Wopmann,False,False,2011-04-09T15:01:50.000Z,Würenlos,https://pbs.twimg.com/profile_images/1305604079/wopmannlukas-web_normal.jpg,lukaswopmann,https://t.co/9DWH4UIH3I,164.0,141.0,1056.0,14.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9DWH4UIH3I', 'expanded_url': 'https://bdp.info/lukas-wopmann/', 'display_url': 'bdp.info/lukas-wopmann/'}]",,,"[{'start': 142, 'end': 158, 'tag': 'SayNoToReligion'}]",lukaswopmann,BDP
,313901005,,Markus Berner,False,False,2011-06-09T11:55:46.000Z,Ostschweiz,https://pbs.twimg.com/profile_images/1138362788986990592/wMvpVl-I_normal.png,maberner,,97.0,69.0,151.0,8.0,,,,,maberner,BDP
,1044821581,"Mitglied bei @Mitte_Centre, Vorstandsmitglied bei @DieJungeMitteEO #AufbruchMitte",Marcel Erhard,False,False,2012-12-29T13:09:33.000Z,"Lützelflüh, Schweiz",https://pbs.twimg.com/profile_images/1131124015375028225/_pwyunFS_normal.jpg,marcel_erhard,https://t.co/wfFqbeI1DK,339.0,251.0,1769.0,16.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/wfFqbeI1DK', 'expanded_url': 'http://marcelerhard.ch', 'display_url': 'marcelerhard.ch'}]","[{'start': 13, 'end': 26, 'username': 'Mitte_Centre'}, {'start': 50, 'end': 66, 'username': 'DieJungeMitteEO'}]",,"[{'start': 67, 'end': 81, 'tag': 'AufbruchMitte'}]",marcel_erhard,BDP
,280891535,,Markus Dietschi,False,False,2011-04-12T06:51:57.000Z,,https://pbs.twimg.com/profile_images/1093816018747707392/0B9Nw7LH_normal.jpg,markusdietschi,,110.0,96.0,60.0,6.0,,,,,markusdietschi,BDP
,1110088908,Strassentransportfachmann und Familienvater. Mitglied der SVP Basel-Stadt/Schulrat Gotthelf,Martin Krumm,False,False,2013-01-21T21:15:08.000Z,Basel/Schweiz/Switzerland,https://pbs.twimg.com/profile_images/1320693162185248769/9woWMf5S_normal.jpg,martinkrumm,https://t.co/KZo4VzfPSq,826.0,1402.0,7664.0,28.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/KZo4VzfPSq', 'expanded_url': 'http://www.martinkrumm.ch', 'display_url': 'martinkrumm.ch'}]",,,,martinkrumm,BDP
,428852601,"Versicherungs-Fachmann mit eidg. Fachausweis,  Treuhänder mit Fachausweis und eidg. dipl. Finanzplanungs-Experte",Michael Merkli,False,False,2011-12-05T07:56:01.000Z,Wettingen Schweiz,https://pbs.twimg.com/profile_images/794838274418372608/BNC6xlaU_normal.jpg,michaelmerkli,http://t.co/Z9cY6aucLy,110.0,107.0,470.0,9.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/Z9cY6aucLy', 'expanded_url': 'http://michaelmerkli.ch', 'display_url': 'michaelmerkli.ch'}]",,,,michaelmerkli,BDP
,1507081720679608327,,Natascha Winkler,False,False,2022-03-24T19:48:00.000Z,,https://pbs.twimg.com/profile_images/1507081820969517062/FC91Uiqx_normal.png,nataschawinkler,,0.0,1.0,0.0,0.0,,,,,nataschawinkler,BDP
,3235941796,Leiterin Kommunikation Berner KMU,Nina Zosso,False,False,2015-05-05T13:36:08.000Z,"Bern, Schweiz",https://pbs.twimg.com/profile_images/784350237066485760/Z_X5yoWm_normal.jpg,ninazosso,https://t.co/JsHQ8OpTVL,597.0,545.0,905.0,25.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/JsHQ8OpTVL', 'expanded_url': 'https://www.facebook.com/pages/Nina-Zosso/743735019066836', 'display_url': 'facebook.com/pages/Nina-Zos…'}]",,,,ninazosso,BDP
,2834845605,Im Moment nicht mehr aktiv auf Twitter,Patrick Caminada,False,False,2014-10-17T09:01:02.000Z,"Walenstadt, Schweiz",https://pbs.twimg.com/profile_images/643309070003359744/g3OErBI-_normal.jpg,patrickcaminada,,227.0,430.0,308.0,12.0,,,,,patrickcaminada,BDP
,3130974321,,Philip Kohli,False,False,2015-04-01T11:36:19.000Z,,https://pbs.twimg.com/profile_images/1055366320932446209/8T2hErOM_normal.jpg,philipkohli,,170.0,155.0,29.0,7.0,,,,,philipkohli,BDP
,357461846,"bürgerlicher Pragmatiker 🗳️, Jurist ⚖️, Aviatik-Geek ✈️ und vieles mehr...",Philippe Tschopp,False,False,2011-08-18T12:02:31.000Z,"Staufen, Schweiz",https://pbs.twimg.com/profile_images/1397677263894847493/gge9LBOi_normal.jpg,phtschopp,,830.0,1365.0,3396.0,34.0,,,,,phtschopp,BDP
,1110140305,Alt-Präsident @BDPBaselStadt,Roland Weiner,False,False,2013-01-21T21:41:59.000Z,Basel,https://pbs.twimg.com/profile_images/1122107912409812992/768UEx7C_normal.jpg,rolandweiner,,38.0,102.0,13.0,1.0,,"[{'start': 14, 'end': 28, 'username': 'BDPBaselStadt'}]",,,rolandweiner,BDP
,1432396646273404935,,Sandra Borgeaud,False,False,2021-08-30T17:36:09.000Z,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,sandraborgeaud,,0.0,0.0,0.0,0.0,,,,,sandraborgeaud,BDP
,133430591,Treibt die Energiewende im Elektrizitätswerk voran ⚡️// ⚜️ // Firefighter 🚒// 5. Jahreszeitliebhaber🎉 // traditionell und trotzdem nicht altmodisch 😉,Jonas Sky Häberling,False,False,2010-04-15T19:35:32.000Z,Windisch,https://pbs.twimg.com/profile_images/1522260639539945473/5rZCRknC_normal.jpg,scoutsky,,299.0,962.0,1025.0,11.0,,,,,scoutsky,BDP
,84531913,Economiste et maire de Perrefitte,Virginie Heyer,False,False,2009-10-23T07:40:03.000Z,Switzerland,https://pbs.twimg.com/profile_images/642434164319481857/dgoJR1W7_normal.jpg,virginieheyer,http://t.co/ZWRNrcD4vd,112.0,84.0,51.0,10.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/ZWRNrcD4vd', 'expanded_url': 'http://www.virginieheyer.ch', 'display_url': 'virginieheyer.ch'}]",,,,virginieheyer,BDP
,3294132370,Grossrätin,Susanne Aebischer,False,False,2015-05-22T14:36:07.000Z,"Courgevaux, Suisse",https://pbs.twimg.com/profile_images/800853066899714048/UNHZTGlN_normal.jpg,aebischer_fr,,219.0,35.0,485.0,11.0,,,,,aebischer_fr,CVP
,3261853661,Candidate au Conseil national et au Parlement jurassien - Etudiante en Droit à l'UniNE,Anaïs Girardin,False,False,2015-05-16T15:38:24.000Z,"Jura, Schweiz",https://pbs.twimg.com/profile_images/636455793928335360/vnguqjtk_normal.jpg,anaisgirardin,,93.0,84.0,51.0,9.0,,,,,anaisgirardin,CVP
,2842999804,Senior Business Project Manager @creditsuisse | Member of the Municipality Council of Winterthur | Karate Sensei 🥋,André Zuraikat,False,False,2014-10-24T22:45:32.000Z,"Winterthur, Schweiz",https://pbs.twimg.com/profile_images/613701269845225472/gZ6TU1hd_normal.jpg,aoz86,https://t.co/9WAh1b7zfg,87.0,95.0,134.0,15.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9WAh1b7zfg', 'expanded_url': 'http://www.andrezuraikat.ch', 'display_url': 'andrezuraikat.ch'}]","[{'start': 32, 'end': 45, 'username': 'creditsuisse'}]",,,aoz86,CVP
,2581264719,"Grossrat CVP im Kt. Aargau  (Sozialliberal - CSP)
Geschäftsführer VAOF",andre rotzetter,False,False,2014-06-03T20:16:03.000Z,Buchs AG,https://pbs.twimg.com/profile_images/475712144550273025/IO6uZ5xI_normal.jpeg,arotzetter,http://t.co/O7adFXlO83,336.0,472.0,389.0,21.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/O7adFXlO83', 'expanded_url': 'http://andre-rotzetter.ch', 'display_url': 'andre-rotzetter.ch'}]",,,,arotzetter,CVP
,3009770681,"Dipl. Physiotherapeut FH, Gesundheitswesen und Prävention, Familie und Altersvorsorge, Migration und Integration, Kulturförderung, CVP Aargau",alexander vaida,False,False,2015-02-01T09:54:49.000Z,"Würenlingen, Schweiz",https://pbs.twimg.com/profile_images/614105468345004032/-Tal1i2L_normal.jpg,avaida10,,43.0,90.0,17.0,7.0,,,,,avaida10,CVP
,278262326,Avocat,Guillaume Barazzone,False,True,2011-04-06T23:06:22.000Z,"Genève, Suisse",https://pbs.twimg.com/profile_images/728281220077981698/dL5NSVBT_normal.jpg,barazzoneg,https://t.co/xm5rIeqolU,3432.0,1173.0,1244.0,118.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/xm5rIeqolU', 'expanded_url': 'http://www.barazzone.ch', 'display_url': 'barazzone.ch'}]",,,,barazzoneg,CVP
,469549703,"Nationalrätin, Präsidentin Die Mitte Aargau, Mitglied Präsidium Die Mitte Schweiz, MP",Marianne Binder 💙💛,False,True,2012-01-20T18:29:24.000Z,Schweiz,https://pbs.twimg.com/profile_images/1173709507152809986/rSVj-_g5_normal.jpg,bindermarianne,https://t.co/huusVALonH,3569.0,1013.0,13636.0,99.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/huusVALonH', 'expanded_url': 'http://www.mariannebinder.ch', 'display_url': 'mariannebinder.ch'}]",,,,bindermarianne,CVP
