component,party,proportion,topic_name
belief-speaking,Democrat,0.08989657915672236,police $\vert$ brutality $\vert$ reform $\vert$ accountabili...
truth-seeking,Democrat,0.17979315831344472,police $\vert$ brutality $\vert$ reform $\vert$ accountabili...
belief-speaking,Republican,0.13486842105263158,police $\vert$ brutality $\vert$ reform $\vert$ accountabili...
truth-seeking,Republican,0.20394736842105263,police $\vert$ brutality $\vert$ reform $\vert$ accountabili...
belief-speaking,Democrat,0.10256410256410256,racism $\vert$ white $\vert$ racist $\vert$ condemn
truth-seeking,Democrat,0.16239316239316237,racism $\vert$ white $\vert$ racist $\vert$ condemn
belief-speaking,Republican,0.11059907834101383,racism $\vert$ white $\vert$ racist $\vert$ condemn
truth-seeking,Republican,0.16589861751152074,racism $\vert$ white $\vert$ racist $\vert$ condemn
belief-speaking,Democrat,0.10227272727272728,religious $\vert$ freedom $\vert$ religion $\vert$ liberty
truth-seeking,Democrat,0.10795454545454546,religious $\vert$ freedom $\vert$ religion $\vert$ liberty
belief-speaking,Republican,0.08447729672650475,religious $\vert$ freedom $\vert$ religion $\vert$ liberty
truth-seeking,Republican,0.07602956705385427,religious $\vert$ freedom $\vert$ religion $\vert$ liberty
belief-speaking,Democrat,0.03454231433506045,animal $\vert$ humane $\vert$ cruelty $\vert$ welfare
truth-seeking,Democrat,0.16234887737478412,animal $\vert$ humane $\vert$ cruelty $\vert$ welfare
belief-speaking,Republican,0.05806451612903226,animal $\vert$ humane $\vert$ cruelty $\vert$ welfare
truth-seeking,Republican,0.15161290322580645,animal $\vert$ humane $\vert$ cruelty $\vert$ welfare
belief-speaking,Democrat,0.08480565371024734,privacy $\vert$ datum $\vert$ data $\vert$ consumer
truth-seeking,Democrat,0.3003533568904594,privacy $\vert$ datum $\vert$ data $\vert$ consumer
belief-speaking,Republican,0.12714776632302405,privacy $\vert$ datum $\vert$ data $\vert$ consumer
truth-seeking,Republican,0.2611683848797251,privacy $\vert$ datum $\vert$ data $\vert$ consumer
belief-speaking,Democrat,0.045454545454545456,penalty $\vert$ death $\vert$ abolish $\vert$ punishment
truth-seeking,Democrat,0.08264462809917356,penalty $\vert$ death $\vert$ abolish $\vert$ punishment
belief-speaking,Republican,0.13636363636363635,penalty $\vert$ death $\vert$ abolish $\vert$ punishment
truth-seeking,Republican,0.18181818181818182,penalty $\vert$ death $\vert$ abolish $\vert$ punishment
