handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,NG_score_mean,belief_share,truth_share,belief_share_2010_to_2013,truth_share_2010_to_2013,belief_share_2019_to_2022,truth_share_2019_to_2022,ideology_mean,followers_count_log,following_count_log
RepCloudTX,1039879658400113024,Congressman Michael Cloud,Republican,540,13634.0,1177.0,635.0,2018-09-12 14:13:25+00:00,117.0,78.75862068965517,0.0888888888888888,0.1777777777777777,,,0.0848484848484848,0.1787878787878788,0.6402288498909957,9.52032195192273,7.0707241072602764
RepDanKildee,1045110018,Rep. Dan Kildee,Democrat,3456,53765.0,1453.0,9213.0,2012-12-29 15:05:47+00:00,117.0,93.43101092896175,0.0615441999254009,0.134278254382693,,,0.05451518934665,0.1360799001248439,0.3252770649493898,10.892377976824626,7.2813856635702825
SenKevinCramer,1048784496,Sen. Kevin Cramer,Republican,3521,31747.0,602.0,8162.0,2012-12-30 20:54:06+00:00,117.0,86.89912280701755,0.0894479385045422,0.1701607267645003,,,0.0894479385045422,0.1701607267645003,0.9244667597576506,10.36555351166757,6.400257445308821
RepGraceMeng,1051127714,Grace Meng,Democrat,3379,49332.0,687.0,6660.0,2012-12-31 20:28:41+00:00,117.0,96.1859649122807,0.0597722960151802,0.1609740670461733,,,0.0686653771760154,0.1803675048355899,0.2576880638090756,10.806328236685879,6.532334292222349
RepAnnWagner,1051446626,Ann Wagner,Republican,3261,28337.0,2374.0,4668.0,2013-01-01 00:01:45+00:00,117.0,87.42822966507177,0.0544593528018942,0.1195737963693764,,,0.0466417910447761,0.1623134328358209,0.7847401263038736,10.251923650196069,7.772331575169614
portman4senate,105181623,Portman4Senate,Republican,229,933.0,402.0,746.0,2010-01-15 16:09:58+00:00,114.0,89.51470588235294,0.0408163265306122,0.0765306122448979,0.0408163265306122,0.0765306122448979,,,0.6683990188853541,6.838405200847344,5.996452088619021
RepHoulahan,1052896620797459968,Chrissy Houlahan,Democrat,3523,33370.0,268.0,4021.0,2018-10-18 12:18:11+00:00,117.0,93.07710280373831,0.0896661367249602,0.1818759936406995,,,0.0896661367249602,0.1818759936406995,0.3902085148381806,10.415412571745419,5.5909869805108565
Ed4Colorado,105290638,Ed Perlmutter,Democrat,1842,4298.0,1178.0,1927.0,2010-01-15 23:16:12+00:00,116.0,95.44460641399417,0.0596491228070175,0.1101754385964912,0.0694006309148265,0.1009463722397476,0.0684523809523809,0.1517857142857142,0.3694419934127004,8.365905077202456,7.071573364211532
RepAGonzalez,1054381765224210048,Rep. Anthony Gonzalez,Republican,1740,24745.0,1416.0,1761.0,2018-10-22 14:39:37+00:00,117.0,94.32758620689656,0.0502610966057441,0.2186684073107049,,,0.0502610966057441,0.2186684073107049,0.4849519528066038,10.116378727385987,7.255591274253665
RepLowenthal,1055730738,Rep. Alan Lowenthal,Democrat,3514,38504.0,3138.0,8374.0,2013-01-02 18:11:33+00:00,117.0,96.75384615384615,0.0593362386858866,0.2098558498156218,,,0.0593362386858866,0.2098558498156218,0.183092449621183,10.558517410982946,8.051340933292979
