party,mean,perc_2.5,perc_97.5,date
Democrat,0.0950415649887784,0.0838562464346834,0.1088888888888888,2012-06-01
Republican,0.1041430832918628,0.0898379970544919,0.119971264367816,2012-06-01
Democrat,0.073467453451613,0.0636663007683863,0.0847741215839375,2012-07-01
Republican,0.0768401429377325,0.0655296229802513,0.0917186108637578,2012-07-01
Democrat,0.0686970948989824,0.0591133004926108,0.0806360022714366,2012-08-01
Republican,0.0666721400422045,0.0557593543653705,0.0818965517241379,2012-08-01
Democrat,0.0596924230427008,0.0465373961218836,0.0711548987411056,2012-09-01
Republican,0.0949302958433613,0.0780386740331491,0.1121751025991792,2012-09-01
Democrat,0.0825872145460403,0.0734998564455928,0.0930828351836037,2012-10-01
Republican,0.103501055712519,0.0932377049180328,0.1178174794785128,2012-10-01
Democrat,0.0727732961068038,0.0588853838065194,0.083420776495278,2012-11-01
Independent,0.0,0.0,0.0,2012-11-01
Republican,0.1070696596187186,0.0909090909090909,0.1224648985959438,2012-11-01
Democrat,0.0671496017011845,0.0497803806734992,0.0857558139534883,2012-12-01
Republican,0.081095229689082,0.0583214793741109,0.0994318181818181,2012-12-01
Democrat,0.0999876494581989,0.0776081424936386,0.1236872812135355,2013-01-01
Republican,0.1009378698149667,0.0816326530612244,0.1214495592556317,2013-01-01
Democrat,0.0861027441352644,0.0669371196754563,0.1014344262295082,2013-02-01
Independent,0.5121222666898672,0.0,1.0,2013-02-01
Republican,0.0964749562755987,0.0773092369477911,0.1184210526315789,2013-02-01
Democrat,0.0790828861519018,0.065173116089613,0.094224924012158,2013-03-01
Independent,0.0,0.0,0.0,2013-03-01
Republican,0.0914422875125248,0.0756501182033096,0.1116352201257861,2013-03-01
Democrat,0.0888355033451335,0.0728971962616822,0.1086105675146771,2013-04-01
Republican,0.0948096927120574,0.08008658008658,0.1069900142653352,2013-04-01
Democrat,0.1059690830796215,0.0848089468779123,0.1242937853107344,2013-05-01
Republican,0.0996688351661308,0.0850439882697947,0.1158392434988179,2013-05-01
Democrat,0.111033067635485,0.095197255574614,0.1304713804713804,2013-06-01
Republican,0.0919130731495751,0.0784427658338175,0.1076207097149505,2013-06-01
Democrat,0.1282226490297426,0.1074918566775244,0.1492652745552977,2013-07-01
Republican,0.1021226186480564,0.0881084411583487,0.1193603655054254,2013-07-01
Democrat,0.0844504042467265,0.0694087403598971,0.1018363939899833,2013-08-01
Republican,0.0886959862338106,0.0738946093276801,0.1054354944335298,2013-08-01
Democrat,0.082370055174556,0.068100358422939,0.1006124234470691,2013-09-01
Republican,0.0826121715529017,0.0720620842572062,0.0949971894322653,2013-09-01
Democrat,0.0773813227468125,0.0622683469236471,0.095952023988006,2013-10-01
Republican,0.0970963696706188,0.0837727006444054,0.1115583668775158,2013-10-01
Democrat,0.0693153211598674,0.0561370123691722,0.0862222222222222,2013-11-01
Republican,0.0851000142486585,0.0733482642777155,0.0983606557377049,2013-11-01
Democrat,0.0716213206962741,0.0518518518518518,0.0928,2013-12-01
Republican,0.083079411697643,0.0660247592847317,0.0975438596491228,2013-12-01
Democrat,0.0993910602841358,0.0846366145354185,0.116554054054054,2014-01-01
Republican,0.0885470427777967,0.0777886497064579,0.0989382239382239,2014-01-01
Democrat,0.0761665393878509,0.0589970501474926,0.0944656488549618,2014-02-01
Republican,0.084208808872105,0.0714285714285714,0.0961904761904761,2014-02-01
Democrat,0.0784117594268634,0.0623249299719887,0.0914166085136078,2014-03-01
Republican,0.0941080131240789,0.0816802800466744,0.1047950502706883,2014-03-01
Democrat,0.0599089924187107,0.048064085447263,0.0734501347708894,2014-04-01
Republican,0.0841494090935447,0.0754785120982304,0.0951532430506058,2014-04-01
Democrat,0.0819717839333975,0.0654313839027214,0.0958156458459672,2014-05-01
Republican,0.084738975161606,0.075679172056921,0.0969468051621026,2014-05-01
Democrat,0.070300192127554,0.0589341692789968,0.0824742268041237,2014-06-01
Republican,0.0817992290790732,0.0732613099257258,0.0915377016792887,2014-06-01
Democrat,0.0708685169630207,0.0586124401913875,0.0840879689521345,2014-07-01
Republican,0.087268095072542,0.0772259236826165,0.0990637269707037,2014-07-01
Democrat,0.0618300008265248,0.0496936691626957,0.0757162346521145,2014-08-01
Republican,0.0688651704355602,0.057471264367816,0.0781305743845879,2014-08-01
Democrat,0.0573689218642023,0.0480327031170158,0.0680306905370844,2014-09-01
Republican,0.0687384561631275,0.0612602100350058,0.0762255596486256,2014-09-01
Democrat,0.0910418185085607,0.0805687203791469,0.1008883248730964,2014-10-01
Republican,0.0869530125307418,0.0795667569256405,0.0942179700499168,2014-10-01
Democrat,0.0892838312968475,0.075055187637969,0.1049144119271121,2014-11-01
Republican,0.089023260829738,0.0768882858435097,0.1002673796791443,2014-11-01
Democrat,0.0920556484359066,0.0760736196319018,0.1084967320261438,2014-12-01
Republican,0.0776285887501679,0.0634354953670705,0.0893246187363834,2014-12-01
Democrat,0.0788330247403764,0.0660377358490566,0.0951585976627712,2015-01-01
Republican,0.0834703793118603,0.0733859730608453,0.0940525587828492,2015-01-01
Democrat,0.079381663834433,0.066066066066066,0.0922730682670667,2015-02-01
Republican,0.0711976903682381,0.0623281393217231,0.080875781948168,2015-02-01
Democrat,0.0748084116739112,0.0612661674608577,0.0878243512974051,2015-03-01
Republican,0.07489596169731,0.0642799023596419,0.0841603811036125,2015-03-01
Democrat,0.0754537835875467,0.0619322873658133,0.0896825396825396,2015-04-01
Republican,0.0758126917947355,0.067449956483899,0.0851063829787234,2015-04-01
Democrat,0.0646113019495479,0.051438535309503,0.0769230769230769,2015-05-01
Republican,0.0676300859267586,0.0573463268365817,0.0783882783882783,2015-05-01
Democrat,0.0676275681056692,0.0531039640987284,0.0838658146964856,2015-06-01
Republican,0.0968599169846298,0.0878885316184351,0.1103919453434016,2015-06-01
Democrat,0.0766620847519045,0.0640845070422535,0.0909742120343839,2015-07-01
Republican,0.0872068125508533,0.0772841051314142,0.0971028334925183,2015-07-01
Democrat,0.0656029857827034,0.0542907180385289,0.0818345323741007,2015-08-01
Republican,0.0776733984796212,0.0671611042439225,0.089179548156956,2015-08-01
Democrat,0.0731746137279385,0.0624566273421235,0.0838206627680311,2015-09-01
Republican,0.0692632987359559,0.061434544869733,0.0766971279373368,2015-09-01
Democrat,0.087370585442776,0.0745044429254955,0.1043360433604336,2015-10-01
Republican,0.1109834538636027,0.100868003591739,0.1224249558563861,2015-10-01
Democrat,0.0777873994737747,0.0620155038759689,0.0923190546528803,2015-11-01
Republican,0.0773829778942794,0.0663082437275985,0.0898707544334235,2015-11-01
Democrat,0.0704355397983337,0.0545790934320074,0.0869963369963369,2015-12-01
Republican,0.0802288308419121,0.070548712206047,0.0911764705882352,2015-12-01
Democrat,0.0812639044839366,0.0666199158485273,0.0949963741841914,2016-01-01
Republican,0.0840063312269146,0.0758965804837364,0.0922912776740464,2016-01-01
Democrat,0.0560403801502481,0.045360824742268,0.0683491062039958,2016-02-01
Republican,0.0733122872032623,0.0669975186104218,0.0801781737193764,2016-02-01
Democrat,0.0698918910185352,0.058848433530906,0.0809484873262469,2016-03-01
Republican,0.0755251904919035,0.0678620063549705,0.0840468679585398,2016-03-01
Democrat,0.0744901874461654,0.0648579906740144,0.0857963875205254,2016-04-01
Republican,0.0754352739024692,0.0678006142215922,0.0832731648616125,2016-04-01
Democrat,0.0704435091802805,0.0607787274453941,0.0797244094488189,2016-05-01
Republican,0.0697288397317964,0.0634359400998336,0.0773184836153351,2016-05-01
Democrat,0.0643844946695473,0.0555144337527757,0.0750090155066714,2016-06-01
Republican,0.0741265474678277,0.0683560477001703,0.0815297331372137,2016-06-01
Democrat,0.0687298520239415,0.0589794565937707,0.0780946208684381,2016-07-01
Republican,0.0748607638420492,0.0669679539852095,0.0824120603015075,2016-07-01
Democrat,0.0701174630801654,0.06,0.0807174887892376,2016-08-01
Republican,0.0787006392233215,0.0718901453957996,0.0852836176120587,2016-08-01
Democrat,0.0916505985956621,0.0800392028748775,0.1036036036036036,2016-09-01
Republican,0.0767991303921031,0.0701177285318559,0.0834782608695652,2016-09-01
Democrat,0.0817522505523851,0.0736733642452344,0.0900448904145761,2016-10-01
Republican,0.0868116572770115,0.0812064965197215,0.093286322902894,2016-10-01
Democrat,0.0718868473935395,0.0621675531914893,0.0793548387096774,2016-11-01
Republican,0.1103212231478423,0.1033822590938098,0.1203501094091903,2016-11-01
Democrat,0.093812904523153,0.0802577621558289,0.1073903002309468,2016-12-01
Republican,0.096478689937768,0.0860465116279069,0.1076509034986543,2016-12-01
Democrat,0.1053161826319093,0.0968174204355108,0.1181575433911882,2017-01-01
