party,mean,perc_2.5,perc_97.5,date
Democrat,0.06641136222512754,0.0361990950226244,0.0976744186046511,2011-01-01
Republican,0.06230051840285104,0.0410958904109589,0.0804123711340206,2011-01-01
Democrat,0.01851440595535191,0.0,0.0460526315789473,2011-02-01
Republican,0.05339911735661012,0.0351648351648351,0.0709812108559499,2011-02-01
Democrat,0.0336046482024152,0.0158227848101265,0.0546623794212218,2011-03-01
Republican,0.059113042038752985,0.0387596899224806,0.0831758034026465,2011-03-01
Democrat,0.04257405277239783,0.0171673819742489,0.0728744939271255,2011-04-01
Republican,0.059846394345246676,0.0406976744186046,0.0767790262172284,2011-04-01
Democrat,0.05361482369046835,0.0353535353535353,0.0761904761904762,2011-05-01
Republican,0.06402595062276854,0.047008547008547,0.086720867208672,2011-05-01
Democrat,0.03534397131480291,0.0249042145593869,0.0509090909090909,2011-06-01
Republican,0.04779195056019248,0.0298245614035087,0.0681818181818181,2011-06-01
Democrat,0.050082587275314616,0.0297619047619047,0.0704225352112676,2011-07-01
Republican,0.050817920417893854,0.0342368045649072,0.0680713128038897,2011-07-01
Democrat,0.05635663697565016,0.0313152400835073,0.0769230769230769,2011-08-01
Republican,0.06107249602099736,0.0422535211267605,0.0849557522123893,2011-08-01
Democrat,0.06922751671768865,0.048411497730711,0.089452603471295,2011-09-01
Republican,0.0535540708351164,0.0404040404040404,0.0665083135391924,2011-09-01
Democrat,0.042778664146933314,0.029082774049217,0.056338028169014,2011-10-01
Republican,0.056943787904413644,0.0433789954337899,0.0730816077953715,2011-10-01
Democrat,0.0469751580571476,0.0288808664259927,0.0633147113594041,2011-11-01
Republican,0.04411373336208272,0.0329799764428739,0.0558035714285714,2011-11-01
Democrat,0.044862361229859274,0.0282485875706214,0.0674157303370786,2011-12-01
Republican,0.05631469571540313,0.0434192672998643,0.0714285714285714,2011-12-01
Democrat,0.04646667065995322,0.0296610169491525,0.0603070175438596,2012-01-01
Republican,0.04120807789893631,0.0291181364392678,0.0526315789473684,2012-01-01
Democrat,0.05144497886262442,0.0362511052166224,0.0652173913043478,2012-02-01
Republican,0.040568392784416644,0.0287937743190661,0.053323029366306,2012-02-01
Democrat,0.0372412885798502,0.0266187050359712,0.0499306518723994,2012-03-01
Republican,0.04251784890808172,0.0304709141274238,0.0519105984138428,2012-03-01
