party,date,tweet_count
Republican,2011-02-24,26
Democrat,2011-02-25,7
Republican,2011-02-25,19
Democrat,2011-02-26,2
Republican,2011-02-26,7
Democrat,2011-02-27,1
Republican,2011-02-27,5
Democrat,2011-02-28,5
Republican,2011-02-28,10
Democrat,2011-03-01,12
Republican,2011-03-01,23
Democrat,2011-03-02,13
Republican,2011-03-02,23
Democrat,2011-03-03,12
Republican,2011-03-03,24
Democrat,2011-03-04,8
Republican,2011-03-04,20
Democrat,2011-03-05,2
Republican,2011-03-05,12
Democrat,2011-03-06,1
Republican,2011-03-06,8
Democrat,2011-03-07,10
Republican,2011-03-07,14
Democrat,2011-03-08,11
Republican,2011-03-08,22
Democrat,2011-03-09,15
Republican,2011-03-09,31
Democrat,2011-03-10,22
Republican,2011-03-10,24
Democrat,2011-03-11,12
Republican,2011-03-11,22
Democrat,2011-03-12,1
Republican,2011-03-12,5
Republican,2011-03-13,6
Democrat,2011-03-14,8
Republican,2011-03-14,16
Democrat,2011-03-15,17
Republican,2011-03-15,11
Democrat,2011-03-16,23
Republican,2011-03-16,22
Democrat,2011-03-17,18
Republican,2011-03-17,15
Democrat,2011-03-18,15
Republican,2011-03-18,20
Democrat,2011-03-19,1
Republican,2011-03-19,9
Democrat,2011-03-20,5
Republican,2011-03-20,3
Democrat,2011-03-21,19
Republican,2011-03-21,24
Democrat,2011-03-22,18
Republican,2011-03-22,31
Democrat,2011-03-23,24
Republican,2011-03-23,31
Democrat,2011-03-24,16
Republican,2011-03-24,28
Democrat,2011-03-25,18
Republican,2011-03-25,33
Democrat,2011-03-26,4
Republican,2011-03-26,10
Democrat,2011-03-27,3
Republican,2011-03-27,8
Democrat,2011-03-28,12
Republican,2011-03-28,22
Democrat,2011-03-29,12
Republican,2011-03-29,19
Democrat,2011-03-30,15
Republican,2011-03-30,26
Democrat,2011-03-31,18
Republican,2011-03-31,29
Democrat,2011-04-01,19
Republican,2011-04-01,36
Democrat,2011-04-02,8
Republican,2011-04-02,11
Democrat,2011-04-03,4
Republican,2011-04-03,3
Democrat,2011-04-04,13
Republican,2011-04-04,26
Democrat,2011-04-05,24
Republican,2011-04-05,42
Democrat,2011-04-06,17
Republican,2011-04-06,27
Democrat,2011-04-07,16
Republican,2011-04-07,33
Democrat,2011-04-08,14
Republican,2011-04-08,38
Democrat,2011-04-09,9
Republican,2011-04-09,17
Republican,2011-04-10,4
Democrat,2011-04-11,5
Republican,2011-04-11,17
Democrat,2011-04-12,14
Republican,2011-04-12,28
Democrat,2011-04-13,12
Republican,2011-04-13,41
Democrat,2011-04-14,20
Republican,2011-04-14,24
Democrat,2011-04-15,18
Republican,2011-04-15,22
Democrat,2011-04-16,5
Republican,2011-04-16,9
Democrat,2011-04-17,1
Republican,2011-04-17,9
Democrat,2011-04-18,8
Republican,2011-04-18,29
Democrat,2011-04-19,13
Republican,2011-04-19,22
Democrat,2011-04-20,3
Republican,2011-04-20,20
Democrat,2011-04-21,14
Republican,2011-04-21,19
Democrat,2011-04-22,11
Republican,2011-04-22,10
Democrat,2011-04-23,2
Republican,2011-04-23,3
Democrat,2011-04-24,3
Republican,2011-04-24,10
Democrat,2011-04-25,3
Republican,2011-04-25,15
Democrat,2011-04-26,12
Republican,2011-04-26,20
Democrat,2011-04-27,7
Republican,2011-04-27,37
Democrat,2011-04-28,11
Republican,2011-04-28,40
Democrat,2011-04-29,8
Republican,2011-04-29,20
Democrat,2011-04-30,5
Republican,2011-04-30,8
Democrat,2011-05-01,4
Republican,2011-05-01,3
Democrat,2011-05-02,22
Republican,2011-05-02,45
Democrat,2011-05-03,18
Republican,2011-05-03,43
Democrat,2011-05-04,19
Republican,2011-05-04,28
Democrat,2011-05-05,16
Republican,2011-05-05,29
Democrat,2011-05-06,18
Republican,2011-05-06,32
Democrat,2011-05-07,4
Republican,2011-05-07,7
Democrat,2011-05-08,6
Republican,2011-05-08,12
Democrat,2011-05-09,16
Republican,2011-05-09,28
Democrat,2011-05-10,18
Republican,2011-05-10,29
Democrat,2011-05-11,25
Republican,2011-05-11,33
Democrat,2011-05-12,21
Republican,2011-05-12,45
Democrat,2011-05-13,12
Republican,2011-05-13,22
Democrat,2011-05-14,4
Republican,2011-05-14,8
Democrat,2011-05-15,4
Republican,2011-05-15,3
Democrat,2011-05-16,17
Republican,2011-05-16,23
Democrat,2011-05-17,19
Republican,2011-05-17,48
Democrat,2011-05-18,30
Republican,2011-05-18,36
Democrat,2011-05-19,21
Republican,2011-05-19,40
Democrat,2011-05-20,10
Republican,2011-05-20,48
Democrat,2011-05-21,2
Republican,2011-05-21,50
Democrat,2011-05-22,4
Republican,2011-05-22,3
Democrat,2011-05-23,11
Republican,2011-05-23,26
Democrat,2011-05-24,31
Republican,2011-05-24,26
Democrat,2011-05-25,33
Republican,2011-05-25,38
Democrat,2011-05-26,22
Republican,2011-05-26,57
Democrat,2011-05-27,14
Republican,2011-05-27,30
Democrat,2011-05-28,5
Republican,2011-05-28,4
Democrat,2011-05-29,10
Republican,2011-05-29,8
Democrat,2011-05-30,12
Republican,2011-05-30,23
Democrat,2011-05-31,24
Republican,2011-05-31,35
Democrat,2011-06-01,22
Republican,2011-06-01,34
Democrat,2011-06-02,20
Republican,2011-06-02,26
Democrat,2011-06-03,28
Republican,2011-06-03,26
Democrat,2011-06-04,1
Republican,2011-06-04,17
Democrat,2011-06-05,3
Republican,2011-06-05,7
Democrat,2011-06-06,10
Republican,2011-06-06,19
Democrat,2011-06-07,24
Republican,2011-06-07,27
Democrat,2011-06-08,20
Republican,2011-06-08,16
Democrat,2011-06-09,17
Republican,2011-06-09,35
Democrat,2011-06-10,21
Republican,2011-06-10,25
Democrat,2011-06-11,28
Republican,2011-06-11,3
Democrat,2011-06-12,4
Republican,2011-06-12,4
Democrat,2011-06-13,7
Republican,2011-06-13,29
Democrat,2011-06-14,34
Republican,2011-06-14,43
Democrat,2011-06-15,28
Republican,2011-06-15,27
Democrat,2011-06-16,36
Republican,2011-06-16,21
Democrat,2011-06-17,23
Republican,2011-06-17,37
Democrat,2011-06-18,5
Republican,2011-06-18,12
Democrat,2011-06-19,6
Republican,2011-06-19,5
Democrat,2011-06-20,27
Republican,2011-06-20,23
Democrat,2011-06-21,34
Republican,2011-06-21,26
Democrat,2011-06-22,22
Republican,2011-06-22,23
Democrat,2011-06-23,41
Republican,2011-06-23,37
Democrat,2011-06-24,20
Republican,2011-06-24,30
Democrat,2011-06-25,10
Republican,2011-06-25,4
Democrat,2011-06-26,8
Republican,2011-06-26,6
Democrat,2011-06-27,17
Republican,2011-06-27,23
Democrat,2011-06-28,22
Republican,2011-06-28,26
Democrat,2011-06-29,18
Republican,2011-06-29,35
Democrat,2011-06-30,47
Republican,2011-06-30,29
Democrat,2011-07-01,40
Republican,2011-07-01,24
Democrat,2011-07-02,8
Republican,2011-07-02,6
Democrat,2011-07-03,1
Republican,2011-07-03,7
Democrat,2011-07-04,11
Republican,2011-07-04,28
Democrat,2011-07-05,23
Republican,2011-07-05,22
Democrat,2011-07-06,16
Republican,2011-07-06,40
Democrat,2011-07-07,23
Republican,2011-07-07,23
Democrat,2011-07-08,25
Republican,2011-07-08,47
Democrat,2011-07-09,8
Republican,2011-07-09,7
Democrat,2011-07-10,2
Republican,2011-07-10,2
Democrat,2011-07-11,11
Republican,2011-07-11,28
Democrat,2011-07-12,21
Republican,2011-07-12,22
Democrat,2011-07-13,41
Republican,2011-07-13,27
Democrat,2011-07-14,19
Republican,2011-07-14,38
Democrat,2011-07-15,21
Republican,2011-07-15,31
Democrat,2011-07-16,8
Republican,2011-07-16,4
Democrat,2011-07-17,12
Republican,2011-07-17,3
Democrat,2011-07-18,14
Republican,2011-07-18,24
Democrat,2011-07-19,32
Republican,2011-07-19,35
Democrat,2011-07-20,36
Republican,2011-07-20,35
Democrat,2011-07-21,34
Republican,2011-07-21,38
Democrat,2011-07-22,22
Republican,2011-07-22,37
Democrat,2011-07-23,6
Republican,2011-07-23,10
Republican,2011-07-24,6
Democrat,2011-07-25,9
Republican,2011-07-25,27
Democrat,2011-07-26,27
Republican,2011-07-26,31
Democrat,2011-07-27,36
Republican,2011-07-27,42
Democrat,2011-07-28,29
Republican,2011-07-28,28
Democrat,2011-07-29,21
Republican,2011-07-29,53
Democrat,2011-07-30,9
Republican,2011-07-30,23
Democrat,2011-07-31,6
Republican,2011-07-31,8
Democrat,2011-08-01,21
Republican,2011-08-01,32
Democrat,2011-08-02,26
Republican,2011-08-02,26
Democrat,2011-08-03,24
Republican,2011-08-03,24
Democrat,2011-08-04,23
Republican,2011-08-04,29
Democrat,2011-08-05,18
Republican,2011-08-05,25
Democrat,2011-08-06,4
Republican,2011-08-06,14
Democrat,2011-08-07,4
Republican,2011-08-07,10
Democrat,2011-08-08,13
Republican,2011-08-08,16
Democrat,2011-08-09,21
Republican,2011-08-09,25
Democrat,2011-08-10,26
Republican,2011-08-10,26
Democrat,2011-08-11,17
Republican,2011-08-11,21
Democrat,2011-08-12,33
Republican,2011-08-12,21
Democrat,2011-08-13,2
Republican,2011-08-13,5
Democrat,2011-08-14,4
Republican,2011-08-14,4
Democrat,2011-08-15,12
Republican,2011-08-15,27
Democrat,2011-08-16,21
Republican,2011-08-16,26
Democrat,2011-08-17,19
Republican,2011-08-17,26
Democrat,2011-08-18,29
Republican,2011-08-18,33
Democrat,2011-08-19,27
Republican,2011-08-19,39
Democrat,2011-08-20,7
Republican,2011-08-20,8
Democrat,2011-08-21,3
Republican,2011-08-21,3
Democrat,2011-08-22,23
Republican,2011-08-22,38
Democrat,2011-08-23,17
Republican,2011-08-23,17
Democrat,2011-08-24,33
Republican,2011-08-24,34
Democrat,2011-08-25,32
Republican,2011-08-25,28
Democrat,2011-08-26,20
Republican,2011-08-26,25
Democrat,2011-08-27,17
Republican,2011-08-27,13
Democrat,2011-08-28,8
Republican,2011-08-28,7
Democrat,2011-08-29,32
Republican,2011-08-29,20
Democrat,2011-08-30,40
Republican,2011-08-30,32
Democrat,2011-08-31,24
Republican,2011-08-31,29
Democrat,2011-09-01,24
Republican,2011-09-01,32
Democrat,2011-09-02,11
Republican,2011-09-02,33
Democrat,2011-09-03,7
Republican,2011-09-03,8
